Product_Id,Product_Name,Category,Discounted_Price,Actual_Price,Discount_Percentage,Rating,Rating_Count,User_Name,Main_Division,Sub_Division,rating_score
B098JYT4SY,"Zebronics Zeb-Jaguar Wireless Mouse, 2.4GHz with USB Nano Receiver, High Precision Optical Tracking, 4 Buttons, Plug & Play, Ambidextrous, for PC/Mac/Laptop (Black+Grey)","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Mice",399.0,1190.0,66,4.1,2809.0,"Deepak,Dhara singh,Shravan V Prasad,Aneil Jeevan Raj Dorakula,Abhi,Sindhu Arumugam,Riya Singh,Amazon Customer",Computers & Accessories,Mice,Above Average
B08CFCK6CW,"Boult Audio Truebuds with 30H Playtime, IPX7 Waterproof, Lightning Boult™ Type C Fast Charging (10 Min=100Mins), BoomX™ Tech Rich Bass, Pro+ Calling HD Mic, Touch Controls in Ear Earbuds TWS (Grey)","Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",1199.0,7999.0,85,3.6,25910.0,"Guhan V,Kailas kanna,Sankarapu sateesh,Joyal,S_Sarkar,abubakar hussain,kiransinh khant,zameer khan",Electronics,In-Ear,Average
B09P564ZTJ,"Wembley LCD Writing Pad/Tab | Writing, Drawing, Reusable, Portable Pad with Colorful Letters | 9 Inch Graphic Tablet (Assorted)","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|GraphicTablets",235.0,1599.0,85,3.8,1173.0,"Yogeshwaran P EEE,SHUVADIP MUKHERJEE,AS,Naveen Lamba,Anshu gautam,Vinay gupta,Ankit,Anita Devi",Computers & Accessories,GraphicTablets,Average
B07MSLTW8Z,"Gizga Essentials Multi-Purpose Portable & Foldable Wooden Desk for Bed Tray, Laptop Table, Study Table (Black)",Computers&Accessories|Accessories&Peripherals|LaptopAccessories|Lapdesks,549.0,1999.0,73,3.6,6422.0,"Swapnil,Kunalb,SATISH MALVIYA,Manisha soni,Bishwapriyo Sarkar,Ravinder,Durai Vignesh,Placeholder",Computers & Accessories,Lapdesks,Average
B09N6TTHT6,"E-COSMOS Plug in LED Night Light Mini USB LED Light Flexible USB LED Ambient Light Mini USB LED Light, LED Portable car Bulb, Indoor, Outdoor, Reading, Sleep (4 pcs)",Computers&Accessories|Accessories&Peripherals|USBGadgets|Lamps,89.0,99.0,10,4.2,241.0,"ABHISHEK SAXENA,C.M. Dhananjayan,Yash,AMIT KUMAR SINGH,Aashiq,Amazon Customer,shivendra sheel kulshrestha,Sushila Doshi",Computers & Accessories,Lamps,Above Average
B098R25TGC,Noise Buds VS201 V2 in-Ear Truly Wireless Earbuds with Dual Equalizer | with Mic | Total 14-Hour Playtime | Full Touch Control | IPX5 Water Resistance and Bluetooth v5.1 (Olive Green),"Electronics|Headphones,Earbuds&Accessories|Headphones|In-Ear",1299.0,2999.0,57,3.8,14629.0,"Karthik,akshay,Prosper Paul,Raksha Ghutke,shallu,Shashank Tirkey,Ajit Roy,ÁJíth",Electronics,In-Ear,Average
B0B2PQL5N3,"Lapster Gel Mouse pad with Wrist Rest , Gaming Mouse Pad with Lycra Cloth Nonslip for Laptop , Computer, , Home & Office (Black)","Computers&Accessories|Accessories&Peripherals|Keyboards,Mice&InputDevices|Keyboard&MiceAccessories|MousePads",230.0,999.0,77,4.2,1528.0,"shree,Sandeep Reddy,Raj,Rhythm S.,Raj Chavan,Gaurav saxena,Saurabh Kulkarni,Maximus Davis",Computers & Accessories,MousePads,Above Average
B07DKZCZ89,"Gizga Essentials Earphone Carrying Case, Multi-Purpose Pocket Storage Travel Organizer for Earphones, Headset, Pen Drives, SD Cards, Shock-Proof Ballistic Nylon, Soft Fabric, Mesh Pocket, Green","Electronics|Headphones,Earbuds&Accessories|Cases",119.0,499.0,76,4.3,15032.0,"shiv pratap singh,charls abraham,Vagisha Sharma,Ronit,Alphonex,Prasad Bhat,Rudradatt Jhala,Subrajit Saha",Electronics,Cases,Above Average
B08GYG6T12,"SanDisk Ultra SDHC UHS-I Card 32GB 120MB/s R for DSLR Cameras, for Full HD Recording, 10Y Warranty",Electronics|Accessories|MemoryCards|SecureDigitalCards,449.0,800.0,44,4.4,69585.0,"Bikki Chowdhury,m̶a̶n̶n̶u̶ m̶e̶h̶t̶a̶,Well person,Sourav2348,Nagaraj Veluswamy,Nand,BKBasu,Sandeep Kumar",Electronics,SecureDigitalCards,Above Average
B09BN2NPBD,"DIGITEK® (DRL-14C) Professional (31cm) Dual Temperature LED Ring Light with Tripod Stand & Mini Tripod for YouTube, Photo-Shoot, Video Shoot, Live Stream, Makeup, Vlogging & More",Electronics|Mobiles&Accessories|MobileAccessories|Photo&VideoAccessories|Flashes&SelfieLights|SelfieLights,1699.0,3495.0,51,4.1,14371.0,"Surendra,Mahalingam,Anindita Rout,Priyanka,Nikhil Roshan,Nikita,Dilli Babu,Jyotsna Mishra",Electronics,SelfieLights,Above Average
